aoa,CL_no_stall,CL,CD_no_stall,CD,CL/CD_no_stall,CL/CD
-12.65,-0.8999275076616287,-0.9038136208508563,0.09944126719424874,0.09960662864308648,-9.049839498763715,-9.073830056927525
-7.15,-0.42040853075802137,-0.4245278299414859,0.06173688231720035,0.062062236052465664,-6.809681911016949,-6.8403566636336155
-3.0,-0.06025205449240624,-0.06432123643937528,0.049973381840416824,0.05010324515678202,-1.205682951072092,-1.283773860118294
-2.25,0.0036243417997330646,0.000624850493518208,0.0493554966040222,0.04940882958239383,0.07343339747568664,0.012646535018122854
2.35,0.38226843973923014,0.3822684397392254,0.054763877923148144,0.054763877923148095,6.98030260522601,6.98030260522593
4.75,0.5680987245902887,0.5680987245902889,0.06333358455550558,0.06333358455550557,8.969944281180021,8.969944281180027
6.75,0.7151875198601323,0.7151875198601323,0.073218224693245,0.073218224693245,9.767889386235206,9.767889386235206
8.8,0.8575253390213682,0.8575253390213682,0.08571628798004169,0.08571628798004169,10.00422859213217,10.00422859213217
10.95,0.9963545930051974,0.9963545930051974,0.10106641005296921,0.10106641005296921,9.858414803523791,9.858414803523791
11.95,1.0568258931239287,1.0568258931239287,0.10886045925861756,0.10886045925861756,9.708078583549323,9.708078583549323
12.8,1.1059621500444374,1.1059621500444374,0.1157517597995982,0.1157517597995982,9.55460333354065,9.55460333354065
14.0,1.171460272592204,1.171460272592204,0.1258115849752242,0.1258115849752242,9.311227362908568,9.311227362908568
15.75,1.2577263629440505,1.2577263629440505,0.14090855328163504,0.14090855328163504,8.925834050898407,8.925834050898407
17.85,1.3431369070622252,1.3431369070622252,0.15896313319717997,0.15896313319717997,8.449361056542465,8.449361056542465
19.75,1.395195003081965,1.395195003081965,0.17399102347302303,0.17399102347302303,8.018775769189537,8.018775769189537
22.55,1.24802354051073,1.1780423347258089,0.2648977565614446,0.21292629784473885,4.711340544030782,5.532629584274327
24.0,1.2919699405507445,1.1205461665860816,0.28528100913701115,0.22787180753789132,4.528762515454555,4.917440988832079
